Name,Logo,Cuisine,Kosher,10bis,Longitude,Latitude,Address,People Actually Go?
פסטה פיורי,https://d25t2285lxl5rf.cloudfront.net/images/shops/22728.png,Italian,,checked,34.7865759,32.0713993,אלוף קלמן מגן 3 תל אביב יפו,
ציק צאק ציקן,https://d25t2285lxl5rf.cloudfront.net/images/shops/3266.jpg,Meat,checked,checked,34.78169631958008,32.075077056884766,אבן גבירול 30 תל אביב יפו,
מיט בר,https://d25t2285lxl5rf.cloudfront.net/images/shops/4163.jpg,Meat,,checked,34.7800778,32.0792319,"שדרות ח""ן 52 תל אביב יפו",
המסעדה,https://d25t2285lxl5rf.cloudfront.net/images/shops/4352.png,Meat,,checked,34.7826984,32.0703432,הארבעה 1 תל אביב יפו,
האחים,https://d25t2285lxl5rf.cloudfront.net/images/shops/6692.gif,Meat,,checked,34.7819034,32.0725125,אבן גבירול 12 תל אביב יפו,checked
פאשה,https://d25t2285lxl5rf.cloudfront.net/images/shops/6973.gif,Meat,checked,checked,34.7835593,32.0703774,הארבעה 8 תל אביב יפו,
אלוף השניצל ,https://d25t2285lxl5rf.cloudfront.net/images/shops/6990.gif,Meat,checked,checked,34.785831451416016,32.069374084472656,החשמונאים 119 תל אביב יפו,
פם פם,https://d25t2285lxl5rf.cloudfront.net/images/shops/8577.png,Meat,checked,checked,34.7817698,32.0749738,אבן גבירול 30 תל אביב יפו,checked
110 בורגר,https://d25t2285lxl5rf.cloudfront.net/images/shops/13342.png,Meat,,checked,34.7879537,32.0732802,אליעזר קפלן 34 תל אביב יפו,
חדר האוכל,https://d25t2285lxl5rf.cloudfront.net/images/shops/13672.jpg,Meat,,checked,34.7862832,32.0761589,שדרות שאול המלך 23 תל אביב יפו,checked
